"LICENCE_NO","PREMISE_NAME","PREMISE_ADDRESS","CATEGORY","SUB_CATEGORY","CURRENCY","LAST_UPDATED","EASTING","NORTHING","LONGITUDE","LATITUDE"
"76343","Circular Head Community and Recreation Centre","72 Nelson Street, SMITHTON, 7330","On",NA,"2016/01/01","Wednesday 08 May 2019",341570,5476436,145.120571013528,-40.8478227128088
"76365","BWS (Devonport)","29 Best Street, DEVONPORT, 7310","Off",NA,"2018/06/04","Wednesday 08 May 2019",446246,5441253,146.359115718328,-41.178288257692
"76370","Pear Tree Cafe","1-3 Buz Street, SISTERS BEACH, 7321","On-Restaurant",NA,"2014/12/01","Wednesday 08 May 2019",379127,5469448,145.564590416417,-40.9171519355361
"76473","Woodlawn Park Wines","796 Windermere Road, SWAN BAY, 7252","Special","Wine Producer - Grape","2014/10/22","Wednesday 08 May 2019",499714,5428628,146.996584135622,-41.2937955957104
"76480","Sush Track","Ground Floor, Marine Board Building, 1 Franklin Wharf, HOBART, 7000","On-Restaurant",NA,"2017/10/31","Wednesday 08 May 2019",527162,5252060,147.332614488396,-42.8835769623725
"76491","George and Daves Cafe","4 Quinlan Crescent, SHEARWATER, 7307","Special","Restaurant","2018/07/30","Wednesday 08 May 2019",461411,5443381,146.540048456173,-41.1599840452141
"76495","Filoxenia","322 Elizabeth Street, NORTH HOBART, 7000","Special","Restaurant","2016/11/02","Wednesday 08 May 2019",525923,5252958,147.317400993946,-42.8755334170371
"76500","The Lodge on Elizabeth","249 Elizabeth Street, NORTH HOBART, 7000","Special","In-house","2014/11/05","Wednesday 08 May 2019",526085,5252743,147.319394475428,-42.8774640073667
"76503","Our Valley Church","Lot 1, Glebe Road, NEW NORFOLK, 7140","On",NA,"2014/11/05","Wednesday 08 May 2019",505353,5262124,147.065455387664,-42.7934116142961
"76510","The Harbourmaster Cafe","1 Devonport Road, DEVONPORT, 7310","On",NA,"2015/02/21","Wednesday 08 May 2019",446569,5441105,146.362953553394,-41.1796427159943
"76513","Maypole Hotel","191 New Town Road, NEW TOWN, 7008","General","Tavern","2014/10/17","Wednesday 08 May 2019",524806,5255185,147.303626348862,-42.8555159871043
"76514","Mount Gnomon Farm","886 Ironcliffe Road, PENGUIN, 7316","Special","Other","2014/10/29","Wednesday 08 May 2019",417891,5442387,146.021243161046,-41.1656976953102
"76515","Moorilla/Moo Brew Retail Outlet @ Brooke St Pier","Stall 10, TRADE - Market Space, Brooke Street Pier, 12 Franklin Wharf, HOBART, 7000","Special","Other","2016/03/09","Wednesday 08 May 2019",527158,5251922,147.332572182005,-42.8848198114322
"76560","McHenry Distillery Shop","Level 1, TRADE - Market Space, Brooke Street Pier, 12 Franklin Wharf, HOBART, 7000","Special","Other","2017/07/01","Wednesday 08 May 2019",527148,5251922,147.332449725744,-42.8848201670823
"76586","Cellarbrations at Cambridge","Unit 16, 66 Kennedy Drive, CAMBRIDGE, 7170","Off",NA,"2014/12/01","Wednesday 08 May 2019",538178,5257574,147.467133619913,-42.8334519514214
"76644","Smithton Club","21-23 Smith Street, SMITHTON, 7330","General","Hotel","2018/01/05","Wednesday 08 May 2019",341885,5477034,145.124457746955,-40.8424993424374
"76649","Pumphouse Point","Lake St Clair Road, LAKE ST CLAIR, 7140","Special","Other","2018/03/01","Wednesday 08 May 2019",431764,5336936,146.17456196719,-42.1167083400776
"76679","Inverquharity","323 Prossers Road, RICHMOND, 7025","Special","Wine Producer - Grape","2014/12/16","Wednesday 08 May 2019",536141,5272136,147.441278487832,-42.7024173589425
"76695","Cellar on the Threshold","Level 6, Reserve Bank Building, 111 Macquarie Street, HOBART, 7000","Special","Online / Internet","2014/11/24","Wednesday 08 May 2019",526876,5252112,147.329109819738,-42.8831188167827
"76696","PEP Pizza","13 Beach Road, KINGSTON BEACH, 7050","Special","Restaurant","2014/11/24","Wednesday 08 May 2019",526390,5241231,147.323671295128,-42.9811197629279
